Player Name,matches,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Pitch Type,Ball type,date,bowler,dismissal shot ,dissmissal bowl line and length
Pathum Nissanka,1,56,100,68,6,1,82.35,2,caught,1,v Australia,Pallekele,dead,legspin,14/06/2022,ashton agor,riverse sweep,good 
Pathum Nissanka,1,14,24,17,3,0,82.35,2,caught,1,v Australia,Pallekele,dusty ,legspin,16/06/2022,Matthew Kuhnemann,drive,good 
Pathum Nissanka,1,137,203,147,11,2,93.19,2,caught,2,v Australia,Colombo (RPS),dry ,straight,19/06/2022,Jhye Richardson,lofted drive,off side
Pathum Nissanka,1,13,42,25,2,0,52,2,caught,1,v Australia,Colombo (RPS),dead ,seam,21/06/2022,Mitchell Marsh,backfoot defense,good on off
Pathum Nissanka,1,2,10,4,0,0,50,2,caught,1,v Australia,Colombo (RPS),dry ,out swing,24/06/2022,josh hazlewood,cover drive,good 
Pathum Nissanka,1,61,103,67,8,0,91.04,1,caught,1,v Australia,Lucknow,dead,short ball,16/10/2023,cummins ,pull,short
Pathum Nissanka,1,4,4,5,1,0,80,1,caught,1,v Australia,Colombo (RPS),dry ,out swing,12/2/2025,spencer jhonson,cover drive,full
Pathum Nissanka,1,6,21,20,1,0,30,1,bowled,1,v Australia,Colombo (RPS),dusty ,in swing,14/02/2025,aaron hardie,defense,good
Pathum Nissanka,1,8,13,13,1,0,61.53,3,caught,2,v Bangladesh,Mirpur,dry ,straight,23/05/2021,Mustafizur rahman,pull,good
Pathum Nissanka,1,20,60,36,2,0,55.55,3,caught,2,v Bangladesh,Mirpur,dry ,quicker,25/05/2021,shakib al hasan,pull,short
Pathum Nissanka,1,0,5,4,0,0,0,3,caught,1,v Bangladesh,Mirpur,dusty ,out swing,28/05/2025,taskin ahmed,punch,out side off
Pathum Nissanka,1,14,18,13,1,0,107.69,1,caught,2,v Bangladesh,Pallekele,dead,short ball,31/08/2023,shoriful islam,cut,short and wide
Pathum Nissanka,1,40,92,60,5,0,66.66,1,lbw,1,v Bangladesh,Colombo (RPS),dry ,in swing,9/9/2023,shoriful islam,defense,good and out side off
Pathum Nissanka,1,41,61,36,8,0,113.88,1,bowled,1,v Bangladesh,Delhi,dead ,straight,6/11/2023,Tanzim Hasan Sakib,drive,good
Pathum Nissanka,1,36,51,28,5,1,128.57,1,caught,1,v Bangladesh,Chattogram,dusty ,short ball,13/03/2024,Tanzim Hasan Sakib,pull,short
Pathum Nissanka,1,114,169,113,13,3,100.88,1,caught,2,v Bangladesh,Chattogram,dry ,leg spin,15/03/2024,mehidy hasan miraz,slog sweep,full toss
Pathum Nissanka,1,1,9,8,0,0,12.5,1,lbw,1,v Bangladesh,Chattogram,dry ,in swing,18/03/2024,taskin ahmed,drive,good
Pathum Nissanka,1,5,20,19,0,0,26.31,1,caught,1,v England,Chester0le0Street,wet ,straight,29/06/2021,chris woakes,pull,back of length
Pathum Nissanka,1,5,20,12,1,0,41.66,1,bowled,1,v England,The Oval,wet ,in swing,1/7/2021,sam curran,drive,full
Pathum Nissanka,1,6,24,17,1,0,35.29,3,caught,1,v England,Bristol, wet,straight,4/7/2021,david willey,drive,out side off
Pathum Nissanka,1,77,110,83,7,2,92.77,1,not out,2,v England,Bengaluru,dead,n/o,26/10/2023,n/o,n/o,n/o
Pathum Nissanka,1,72,125,80,11,0,90,1,caught,2,v India,Guwahati,dead,short ball,10/1/2023,umran malik,pull,short
Pathum Nissanka,1,6,11,7,1,0,85.71,1,caught,2,v India,Colombo (RPS),dry ,out swing,12/9/2023,jasprit bumrah,punch,good
Pathum Nissanka,1,2,16,4,0,0,50,1,caught,1,v India,Colombo (RPS),wet ,out swing,17/09/2023,mohommed siraj,drive,out side off
Pathum Nissanka,1,0,2,1,0,0,0,1,lbw,2,v India,Wankhede,dead ,straight,2/11/2023,jasprit bumrah,defense,full
Pathum Nissanka,1,56,116,75,9,0,74.66,1,lbw,1,v India,Colombo (RPS),dry ,off spin,2/8/2024,washington sundar,flick,full
Pathum Nissanka,1,0,0,1,0,0,0,1,caught,1,v India,Colombo (RPS),dusty ,out swing,4/8/2024,mohommed siraj,drive,good
Pathum Nissanka,1,45,70,65,5,2,69.23,1,caught,1,v India,Colombo (RPS),dusty ,quicker,7/8/2024,axar patel,slog sweep,short
Pathum Nissanka,1,66,58,42,6,5,157.14,1,caught,1,v Newzeland,Auckland,wet ,in swing,25/03/2023,henry shipley,drive,full
Pathum Nissanka,1,57,109,64,8,1,89.06,1,run out,1,v Newzeland,Hamilton,wet ,n/o,31/03/2023,n/o,n/o,n/o
Pathum Nissanka,1,28,0,33,4,0,84.84,1,caught,2,v Newzeland,Pallekele,dry ,top spin,17/11/2024,michael bracewell,lofted drive,full
Pathum Nissanka,1,12,12,10,3,0,120,1,caught,1,v Newzeland,Dambulla,dead ,short ball,13/11/2025,jacob duffy,upper cut,short
Pathum Nissanka,1,9,15,10,2,0,90,1,bowled,2,v Newzeland,Auckland,wet ,off spin,11/1/2025,mitchell satner,scoop shot,outside off
Pathum Nissanka,1,9,17,18,0,1,50,1,caught,1,v Newzeland,Wellington,wet ,out swing,5/1/2025,matt henry,flick,full
Pathum Nissanka,1,2,9,8,0,0,25,1,caught,1,v Newzeland,Bengaluru,dead,out swing,9/11/2023,tim southee,drive,good outside off
Pathum Nissanka,1,1,5,6,0,0,16.66,1,caught,2,v Newzeland,Hamilton,wet ,out swing,8/1/2025,jacob duffy,drive,full
Pathum Nissanka,1,0,6,3,0,0,0,1,bowled,2,v South Africa,Delhi,dead ,in swing,7/10/2023,marko janseen,defense,good
Pathum Nissanka,1,8,29,16,1,0,50,3,run out,1,v West Indies,North Sound,dry ,n/o,10/3/2021,n/o,n/o,n/o
Pathum Nissanka,1,10,21,13,1,0,76.92,3,bowled,1,v West Indies,North Sound,wet ,in swing,12/3/2021,alzaari joseph,defense,full
Pathum Nissanka,1,24,38,25,3,0,96,3,lbw,1,v West Indies,North Sound,dry ,googly,14/03/2021,akael hosein,defense,good
Pathum Nissanka,1,104,124,113,14,0,92.03,1,caught,2,v West Indies,Harare,dusty ,off spin,7/7/2023,kevin sinclair,slog sweep,slot
Pathum Nissanka,1,56,0,62,8,1,90.32,1,run out,1,v West Indies,Pallekele,dead,n/o,26/10/2024,n/o,n/o,n/o
Kusal mendis,1,67,124,95,6,0,70.52,3,caught,1,v Australia,Colombo (RPS),dry ,off cutter ,21/08/2016,james faulkner,pull,short
Kusal mendis,1,69,104,69,9,0,100,3,lbw,1,v Australia,Colombo (RPS),dusty ,googly,24/08/2016,adam zampa,defense,good 
Kusal mendis,1,4,12,2,1,0,200,3,caught,1,v Australia,Dambulla,dry ,straight,28/08/2016,josh hazlewood,defense,back of length
Kusal mendis,1,1,23,8,0,0,12.5,3,caught,1,v Australia,Dambulla,dusty ,straight,31/08/2016,john hastings,punch,good off stump line
Kusal mendis,1,33,44,36,5,1,91.66,3,caught,1,v Australia,Pallekele,dry ,straight,4/9/2016,john hastings,drive,good outside off
Kusal mendis,1,30,68,37,0,2,81.08,4,caught,2,v Australia,The Oval,wet ,out swing,15/06/2019,mitchel starc,defense,good
Kusal mendis,1,86,139,87,8,1,98.85,3,not out,1,v Australia,Pallekele,dead,n/o,14/06/2022,n/o,n/o,n/o
Kusal mendis,1,36,75,41,2,1,87.8,3,caught,1,v Australia,Pallekele,dry ,arm,16/06/2022,glenn maxwell,sweep,good
Kusal mendis,1,87,128,85,8,0,102.35,3,retired notout,2,v Australia,Colombo (RPS),dead,n/o,19/06/2022,n/o,n/o,n/o
Kusal mendis,1,14,22,21,1,1,66.66,3,bowled,1,v Australia,Colombo (RPS),dry ,straight,21/06/2022,pat cummins,defense,back of length
Kusal mendis,1,26,61,40,3,0,65,3,hit wicket,1,v Australia,Colombo (RPS),dry ,quicker,24/06/2022,glenn maxwell,sweep,short
Kusal mendis,1,9,27,13,0,0,69.23,3,caught,1,v Australia,Lucknow,dead,leg spin,16/10/2023,adam zampa,sweep,good
Kusal mendis,1,19,21,17,4,0,111.76,3,caught,1,v Australia,Colombo (RPS),dry ,straight,12/2/2025,aaron hardie,defense,back of length
Kusal mendis,1,101,154,115,11,0,87.82,3,caught,1,v Australia,Colombo (RPS),dusty ,leg spin,14/02/2025,adam zampa,slog sweep,slot
Kusal mendis,1,4,0,17,0,0,23.52,3,caught,2,v Bangladesh,Dambulla,dry ,leg spin,25/03/2017,mehidy hasan miraz,lofted drive,full toss
Kusal mendis,1,102,164,107,9,1,95.32,3,caught,1,v Bangladesh,Dambulla,dead,straight,28/03/2017,taskin ahmed,drive,slot
Kusal mendis,1,54,0,76,4,0,71.05,3,caught,1,v Bangladesh,Colombo (SSC),dry ,off cutter ,1/4/2017,Mustafizur rahman,punch,good
Kusal mendis,1,19,0,34,1,0,55.88,3,caught,2,v Bangladesh,Mirpur,dusty ,short ball,19/01/2018,mashrafe mortaza,pull,short
Kusal mendis,1,28,0,9,2,3,311.11,3,caught,1,v Bangladesh,Mirpur,dusty ,straight,27/01/2018,mashrafe mortaza,pull,back of length
Kusal mendis,1,0,0,1,0,0,0,2,lbw,2,v Bangladesh,Dubai (DICS),dead,in swing,15/09/2018,Mustafizur rahman,drive,full
Kusal mendis,1,43,0,49,4,0,87.75,4,caught,1,v Bangladesh,Colombo (RPS),dry ,straight,26/07/2019,rubel hossain,cut,back of length outside off
Kusal mendis,1,41,0,74,4,0,55.4,4,not out,2,v Bangladesh,Colombo (RPS),dusty ,n/o,28/07/2019,n/o,n/o,n/o
Kusal mendis,1,54,0,58,5,1,93.1,4,caught,1,v Bangladesh,Colombo (RPS),dry ,slower ball,31/07/2019,saumya sarkar,lofted drive,full outside off
Kusal mendis,1,24,43,36,2,0,66.66,4,caught,2,v Bangladesh,Mirpur,dry ,top spin,23/05/2021,shakib al hasan,cover drive,out side off
Kusal mendis,1,15,31,22,0,1,68.18,4,lbw,2,v Bangladesh,Mirpur,dry ,googly,25/05/2021,mehidy hasan miraz,defense,good
Kusal mendis,1,22,56,36,0,1,61.11,4,caught,1,v Bangladesh,Mirpur,dusty ,straight,28/05/2021,taskin ahmed,slog sweep,back of length
Kusal mendis,1,5,39,21,1,0,23.8,3,bowled,2,v Bangladesh,Pallekele,dead,arm,31/08/2023,shakib al hasan,sweep,good
Kusal mendis,1,50,74,73,6,1,68.49,3,caught,1,v Bangladesh,Colombo (RPS),dry ,bouncer,9/9/2023,shoriful islam,upper cut,short length outside off
Kusal mendis,1,19,49,30,1,1,63.33,3,caught,1,v Bangladesh,Delhi,dead,drifter,6/11/2023,shakib al hasan,flick,good
Kusal mendis,1,59,111,75,5,1,78.66,3,caught,1,v Bangladesh,Chattogram,dusty ,straight,13/03/2024,taskin ahmed,lofted drive,good
Kusal mendis,1,16,23,13,3,0,123.07,3,caught,2,v Bangladesh,Chattogram,dry ,out swing,15/03/2024,taskin ahmed,defense,back of length
Kusal mendis,1,29,81,51,3,0,56.86,3,caught,1,v Bangladesh,Chattogram,dry ,leg spin,18/03/2024,rishad hossain,drive,slot
Kusal mendis,1,17,25,14,2,1,121.42,3,caught,1,v England,Nottingham,flat,short ball,21/06/2016,chris woakes,hook,short
Kusal mendis,1,0,12,9,0,0,0,3,lbw,1,v England,Birmingham,grass,in swing,24/06/2016,liam plunkett,defense,good
Kusal mendis,1,53,83,66,5,1,80.3,3,caught,1,v England,Bristol,grass,short ball,26/06/2016,liam plunkett,hook,short
Kusal mendis,1,77,76,64,13,0,120.31,3,caught,1,v England,The Oval,grass,leg spin,29/06/2016,adil rashid,cover drive,full
Kusal mendis,1,22,40,34,2,0,64.7,3,run out,2,v England,Cardiff,grass,n/o,2/7/2016,n/o,n/o,n/o
Kusal mendis,1,0,0,1,0,0,0,3,bowled,1,v England,Pallekele,,googly,17/10/2018,adil rashid,drive,good
Kusal mendis,1,5,0,14,0,0,35.71,4,lbw,1,v England,Pallekele,,googly,20/10/2018,adil rashid,sweep,good
Kusal mendis,1,56,0,33,1,6,169.69,4,caught,1,v England,Colombo (RPS),,short ball,23/10/2018,liam plunkett,hook,short
Kusal mendis,1,46,110,68,2,0,67.64,4,caught,1,v England,Leeds,,leg spin,27/06/2019,adil rashid,slog sweep,full
Kusal mendis,1,11,15,12,2,0,91.66,3,caught,2,v England,Bengaluru,,out swing,26/10/2023,david willey,flick,full
Kusal mendis,1,89,113,93,11,1,95.69,3,run out,2,v India,The Oval,,n/o,8/6/2017,n/o,n/o,n/o
Kusal mendis,1,36,0,37,5,0,97.29,3,bowled,1,v India,Dambulla,,quicker,20/08/2017,axar patel,defense,good
Kusal mendis,1,19,0,48,2,0,39.58,3,lbw,1,v India,Pallekele,,quicker,24/08/2017,yuzwendra chahal,sweep,good
Kusal mendis,1,1,0,10,0,0,10,3,caught,1,v India,Pallekele,,out swing,27/08/2017,jasprit bumrah,drive,full
Kusal mendis,1,1,0,7,0,0,14.28,3,run out,2,v India,Colombo (RPS),,n/o,31/08/2017,n/o,n/o,n/o
Kusal mendis,1,3,15,13,0,0,23.07,4,stumped,1,v India,Leeds,,leg spin,6/7/2019,ravindra jadeja,inside out,good
Kusal mendis,1,0,9,4,0,0,0,3,bowled,2,v India,Guwahati,,in swing,10/1/2023,mohommed siraj,drive,good
Kusal mendis,1,34,59,34,3,1,100,3,lbw,1,v India,Eden Gardens,,googly,12/1/2023,kuldeep yadav,defense,good
Kusal mendis,1,4,11,7,1,0,57.14,3,caught,2,v India,Thiruvananthapuram,,out swing,15/01/2023,mohommed siraj,defense,out side off
Kusal mendis,1,15,23,16,3,0,93.75,3,caught,2,v India,Colombo (RPS),,slower ball12/09/2023,,jasprit bumrah,drive,full outside off
Kusal mendis,1,17,59,34,3,0,50,3,bowled,1,v India,Colombo (RPS),,in swing,17/09/2023,mohommed siraj,drive,good
Kusal mendis,1,1,21,10,0,0,10,3,bowled,2,v India,Wankhede,,straight,2/11/2023,mohommed siraj,defense,good
Kusal mendis,1,14,47,31,1,0,45.16,3,lbw,1,v India,Colombo (RPS),,straight,2/8/2024,shivam dube,defense,good
Kusal mendis,1,30,78,42,3,0,71.42,3,lbw,1,v India,Colombo (RPS),,arm,4/8/2024,washington sundar,sweep,full
Kusal mendis,1,59,118,82,4,0,71.95,3,caught,1,v India,Colombo (RPS),,quicker,7/8/2024,kuldeep yadav,pull,short of good length
Kusal mendis,1,18,0,20,2,0,90,4,caught,2,v New Zealand,Mount Maunganui,,googly,3/1/2019,ish sodhi,defense,good
Kusal mendis,1,20,0,30,2,0,66.66,4,caught,2,v New Zealand,Mount Maunganui,,drifter,5/1/2019,ish sodhi,padle sweep,short
Kusal mendis,1,0,0,0,0,0,0,4,run out,2,v New Zealand,Nelson,,n/o,8/1/2019,n/o,n/o,n/o
Kusal mendis,1,0,3,1,0,0,0,4,caught,1,v New Zealand,Cardiff,,out swing,1/6/2019,matt henry,cover drive,back of length
Kusal mendis,1,0,22,16,0,0,0,3,caught,2,v New Zealand,Auckland,,bouncer,25/03/2023,henry shipley,pull,short
Kusal mendis,1,0,8,6,0,0,0,3,caught,1,v New Zealand,Hamilton,,out swing,31/03/2023,henry shipley,defense,back of length
Kusal mendis,1,6,11,7,1,0,85.71,3,caught,1,v New Zealand,Bengaluru,,out swing,9/11/2023,trent boult,flick,good
Kusal mendis,1,143,166,128,17,2,111.71,3,caught,1,v New Zealand,Dambulla,,straight,13/11/2024,jacob duffy,inside out,out side off
Kusal mendis,1,74,0,102,6,0,72.54,3,not out,2,v New Zealand,Pallekele,,n/o,17/11/2024,n/o,n/o,n/o
Kusal mendis,1,2,7,8,0,0,25,3,bowled,1,v New Zealand,Wellington,,short ball,5/1/2025,jacob duffy,defense,back of length
Kusal mendis,1,2,12,4,0,0,50,3,caught,2,v New Zealand,Hamilton,,out swing,8/1/2025,jacob duffy,defense,good outside off
Kusal mendis,1,54,69,48,5,2,112.5,3,caught,1,v New Zealand,Auckland,,off spin,11/1/2025,mitchell satner,sweep,good
Kusal mendis,1,62,120,94,10,0,65.95,3,lbw,1,v South Africa,Gqeberha,,leg spin,28/01/2017,imran tahir,defense,good
Kusal mendis,1,20,29,22,3,0,90.9,3,caught,2,v South Africa,Durban,,straight,1/2/2017,andile phehlukwayo,cover drive,slot 
Kusal mendis,1,4,13,7,0,0,57.14,3,caught,1,v South Africa,Johannesburg,,out swing,4/2/2017,andile phehlukwayo,defense,back of length
Kusal mendis,1,29,45,34,3,0,85.29,3,caught,2,v South Africa,Cape Town,,short ball,7/2/2017,wayne parnell,pull,short
Kusal mendis,1,1,11,7,0,0,14.28,3,caught,2,v South Africa,Centurion,,straight,10/2/2017,chris morris,lofted drive,slot
Kusal mendis,1,11,20,10,2,0,110,3,caught,2,v South Africa,The Oval,,straight,3/6/2017,chris morris,flick,good
Kusal mendis,1,3,0,6,0,0,50,3,caught,1,v South Africa,Dambulla,,out swing,29/07/2018,kagiso rabada,cover drive,full
Kusal mendis,1,0,0,1,0,0,0,3,lbw,1,v South Africa,Dambulla,,in swing,1/8/2018,lungi ngidi,flick,full
Kusal mendis,1,31,0,34,4,0,91.17,4,caught,2,v South Africa,Pallekele,,bouncer,5/8/2018,lungi ngidi,pull,back of length
Kusal mendis,1,14,0,13,0,1,107.69,3,lbw,1,v South Africa,Pallekele,,slower,8/8/2018,keshav maharaj,sweep,yoker
Kusal mendis,1,38,0,43,5,0,88.37,4,caught,1,v South Africa,Colombo (RPS),,leg spin,12/8/2018,keshav maharaj,drive,out side off
Kusal mendis,1,60,95,73,5,1,82.19,5,caught,1,v South Africa,Johannesburg,,top spin,3/3/2019,imran tahir,cover drive,full
Kusal mendis,1,24,41,31,2,0,77.41,5,run out,2,v South Africa,Centurion,,n/o,6/3/2019,n/o,n/o,n/o
Kusal mendis,1,41,49,31,4,2,132.25,4,caught,2,v South Africa,Durban,,leg spin,10/3/2019,imran tahir,flick,good
Kusal mendis,1,21,68,42,1,0,50,4,caught,1,v South Africa,Gqeberha,,bouncer,13/03/2019,andile phehlukwayo,pull,back of length
Kusal mendis,1,56,129,84,3,0,66.66,4,run out,1,v South Africa,Cape Town,,n/o,16/03/2019,n/o,n/o,n/o
Kusal mendis,1,23,75,51,2,0,45.09,4,caught,1,v South Africa,Chester0le0Street,,straight,28/06/2019,dwaine pretorious,lofted drive,back of length outside off
Kusal mendis,1,76,55,42,4,8,180.95,3,caught,2,v South Africa,Delhi,,bouncer,7/10/2023,kagiso rabada,cut,back of length outside off
Kusal mendis,1,4,6,6,1,0,66.66,4,caught,2,v West Indies,Harare,,out swing,16/11/2016,jason holder,drive,good
Kusal mendis,1,94,93,73,7,5,128.76,4,caught,1,v West Indies,Bulawayo,,quicker,23/11/2016,ashley nurse,late cut,out side off
Kusal mendis,1,39,53,41,4,0,95.12,4,caught,1,v West Indies,Chester0le0Street,,top spin,1/7/2019,fabien allen,sweep,full toss
Kusal mendis,1,20,0,25,2,1,80,4,caught,2,v West Indies,Colombo (SSC),,leg spin,22/02/2020,hayden walsh,lofted drive,full toss
Kusal mendis,1,119,0,119,12,0,100,4,caught,1,v West Indies,Hambantota,,straight,26/02/2020,alzaari joseph,lofted drive,full
Kusal mendis,1,55,0,48,6,1,114.58,4,caught,1,v West Indies,Pallekele,,bouncer,1/3/2020,alzaari joseph,pull,short
Kusal mendis,1,34,37,43,3,0,79.06,3,not out,2,v West Indies,Harare,,n/o,7/7/2023,n/o,n/o,n/o
Kusal mendis,1,13,9,8,3,0,162.5,3,caught,2,v West Indies,Pallekele,,straight,20/10/224,alzaari joseph,lofted drive,full
Kusal mendis,1,3,17,13,0,0,23.07,3,bowled,2,v West Indies,Pallekele,,leg spin,23/10/2024,gudakesh motie,defense,good 
Kusal mendis,1,56,0,22,9,1,254.54,3,not out,1,v West Indies,Pallekele,,n/o,26/10/2024,n/o,n/o,n/o
Charith Asalanka,1,37,64,42,4,0,88.09,5,caught,1,v Australia,Pallekele,,straight,14/06/2022,Jhye Richardson,lofted drive,back of length
Charith Asalanka,1,13,37,27,1,0,48.14,5,caught,1,v Australia,Pallekele,,off spin,16/06/2022,glenn maxwell,slog sweep,out side off
Charith Asalanka,1,13,26,12,0,1,108.33,5,not out,2,v Australia,Colombo (RPS),,n/o,19/06/2022,n/o,n/o,n/o
Charith Asalanka,1,110,182,106,10,1,103.77,5,caught,1,v Australia,Colombo (RPS),,bouncer,21/06/2022,pat cummins,pull,back of length
Charith Asalanka,1,14,30,27,1,0,51.85,5,run out,1,v Australia,Colombo (RPS),,n/o,24/06/2022,n/o,n/o,n/o
Charith Asalanka,1,25,75,39,0,1,64.1,5,caught,1,v Australia,Lucknow,,arm,16/10/2023,glenn maxwell,slog sweep,good
Charith Asalanka,1,127,180,126,14,5,100.79,5,caught,1,v Australia,Colombo (RPS),,full toss,12/2/2025,sean abott,flick,yoker
Charith Asalanka,1,78,103,66,6,3,118.18,5,not out,1,v Australia,Colombo (RPS),,n/o,14/02/2025,n/o,n/o,n/o
Charith Asalanka,1,62,118,92,5,1,67.39,5,not out,2,v Bangladesh,Pallekele,,n/o,31/08/2023,n/o,n/o,n/o
Charith Asalanka,1,10,25,23,1,0,43.47,5,caught,1,v Bangladesh,Colombo (RPS),,slower,9/9/2023,taskin ahmed,lofted drive,slot out side off
Charith Asalanka,1,108,159,105,6,5,102.85,5,caught,1,v Bangladesh,Delhi,,bouncer,6/11/2023,Tanzim Hasan Sakib,pull,back of length
Charith Asalanka,1,18,53,37,2,0,48.64,5,bowled,1,v Bangladesh,Chattogram,,arm,13/03/2024,mehidy hasan miraz,punch,good
Charith Asalanka,1,91,145,93,6,4,97.84,5,caught,2,v Bangladesh,Chattogram,,straight,15/03/2024,taskin ahmed,drive,full outside off
Charith Asalanka,1,37,71,46,5,0,80.43,5,caught,1,v Bangladesh,Chattogram,,straight,18/03/2024,Mustafizur rahman,late cut,back of length outside off
Charith Asalanka,1,0,6,6,0,0,0,3,caught,1,v England,Chester0le0Street,,out swing,29/06/2021,david willey,punch,back of length
Charith Asalanka,1,3,15,11,0,0,27.27,5,caught,1,v England,The Oval,,bouncer,1/7/2021,david willey,pull,short
Charith Asalanka,1,38,77,65,1,0,58.46,5,caught,1,v India,Colombo (RPS),,slower,18/07/2021,deepak chahar,cut,short and wide
Charith Asalanka,1,65,102,68,6,0,95.58,5,caught,1,v India,Colombo (RPS),,off cutter ,20/07/2021,bhuwaneshwar kumar,slog sweep,full outside off
Charith Asalanka,1,24,37,28,3,0,85.71,5,lbw,2,v India,Colombo (RPS),,slower,23/07/2021,hardik pandya,flick,good
Charith Asalanka,1,23,39,28,3,0,82.14,4,caught,2,v India,Guwahati,,short ball,10/1/2023,umran malik,pull,short
